,reference,keywords_0,keywords_1,keywords_2
0,ChIJAergcnhJqEcRST9W0VduzeY,schnitzel,german,pork
1,ChIJaw12ev1QqEcRUApn-mBv2vM,wines,dessert,shrimp
2,ChIJWc98GMNRqEcRJKn-jkqXZgA,german,,
3,ChIJgTRA3fdNqEcRplfCByWlpO8,german,cozy,terrace
4,ChIJ80Ss-Z1PqEcRpsXmnT9JdUc,german,,
5,ChIJ7zM0jORQqEcRm1bUReSc7jg,schnitzel,german,cozy
6,ChIJN80uwKpaqEcRRoBP6Z3bBpk,grill,terrace,croatian
7,ChIJXVK-dN9OqEcRM7o4xzSv0Y4,wines,soup,dessert
8,ChIJJQEn_0tXqEcRyoIfRkByA9s,german,dessert,
9,ChIJy_gHwWVWqEcRKRaXp6-xc4s,dessert,german,
10,ChIJqbpNxEZOqEcRViO_0U4FCEc,schnitzel,german,pork
11,ChIJe4iIctpQqEcRl0UFMInQG0M,steak,pork,german
12,ChIJn5OC5EFPqEcRdxpp9xkn4tE,,,
13,ChIJCal7aqZQqEcRS-dBiQO5RpY,salads,terrace,dessert
14,ChIJqQygjjBOqEcR8CcHBbBvYpI,steak,schnitzel,pork
15,ChIJoyxoIW5IqEcRu7Jp5PDYk3s,burrito,enchiladas,mexican
16,ChIJ80LLUu9QqEcR5OKoBF1sv5M,schnitzel,german,indian
17,ChIJRRo5NodaqEcRD2ZhNk7HXHc,wines,german,meat
18,ChIJOa4mLg5bqEcREQo97phHNOk,burger,meat,
19,ChIJgQjUEhhRqEcRK1_fKG29co8,schnitzel,dessert,bavarian
20,ChIJ-5l_A9lPqEcR0IKJve2NT-c,mediterranean,greek,wines
21,ChIJWwxJ0vBOqEcRj0SpaaXimjg,mediterranean,meat,
22,ChIJQWakpelQqEcRlrJwnu5rKUs,schnitzel,german,meat
23,ChIJjc-rNeZPqEcRlZTaa4h6iKA,dessert,cozy,schnitzel
24,ChIJ1ygS_UtPqEcR_GN8RaF2GsU,german,currywurst,
25,ChIJewOHh0dMqEcR-lxmXVQbvZY,greek,mediterranean,salads
26,ChIJDxwnUmBPqEcR1mxWAXmC1zg,pasta,italian,cozy
27,ChIJGUh_tSBOqEcRLKNxcaGzQBA,terrace,pasta,cozy
28,ChIJq-hAuFhOqEcR4WcSDUdrIqI,grill,wines,
29,ChIJf9UjBlFQqEcRKejL4YhXNl0,schnitzel,german,
30,ChIJs-ajuOhTqEcRTpI27hQ7Ev8,steak,,
31,ChIJl8laNkNOqEcR_cP9hIHMPlE,italian,pasta,pizza
32,ChIJUeh6trFPqEcRmTePPalysxA,falafel,vegan,soup
33,ChIJNZ52e-hQqEcRhTkVAtxjL6w,lobster,pasta,cozy
34,ChIJM1y08xROqEcR-Y8k2Bm4Udc,pizza,schnitzel,burger
35,ChIJzfw4cNBRqEcR7fwXfYYScu4,bavarian,german,
36,ChIJJZExZt5QqEcReiy8E2SmySc,pizza,pasta,italian
37,ChIJcU8QhCROqEcR84lgdgNNo3o,schnitzel,german,pork
38,ChIJEY5SHgJOqEcRRG7faiVTTyU,schnitzel,wines,pork
39,ChIJOYnWu89UqEcRkZZ7lWgUEdQ,croatian,balkan,cozy
40,ChIJV397XrRPqEcRcfIs_ffJATc,pork,meat,wines
41,ChIJaZtxr09QqEcROU8qtAgE12k,cafe,terrace,salads
42,ChIJGa1cj7dPqEcRT6_HpZhHMuI,cafe,terrace,salads
43,ChIJm0jFxvhQqEcRPcxZ0-hL8jM,pork,,
44,ChIJ12BLdRZRqEcRH5ed14Q8hGI,nepalese,cozy,
45,ChIJ1wLfeL5aqEcRlAtXMWA8gfE,pizza,steak,pasta
46,ChIJ57kGIcJRqEcRUdFUCT_QMVA,steak,meat,cozy
47,ChIJjwgujNlRqEcRr_sHgCvWcB4,terrace,,
48,ChIJuati81VQqEcR5x5X6_lUcaM,soup,salads,cozy
49,ChIJN3sjK3BIqEcR3XYQNS3mgFQ,pork,vegetarian,dessert
50,ChIJTRlFavpRqEcRUZIuIO3V8Z4,schnitzel,terrace,cozy
51,ChIJZ4w__M8jZUERE7WaomeuxqU,german,,
52,ChIJA-CIv3NRqEcRS_t88GTmMdM,cozy,german,mexican
53,ChIJywNLxthFqEcRr6upXkyTttg,fajitas,dessert,
54,ChIJ9_l59HBRqEcRlX-HAmUP6ps,italian,pasta,pizza
55,ChIJRbg504pLqEcRaCjdJW0QFlM,greek,terrace,
56,ChIJe6KRgZZRqEcRNpQ5YNwNaKI,cafe,german,
57,ChIJ1Vrbe-RQqEcRnpasKjzVzTY,pasta,pizza,italian
58,ChIJ5VSYQsNRqEcRY1TXQ5Pa2vE,,,
59,ChIJlYMy-rdRqEcRo5LyhMtrFRw,wines,german,mediterranean
60,ChIJVfEmINtRqEcRsch0pslaanQ,schnitzel,pasta,terrace
61,ChIJ8a9989pRqEcR6ZdZFWOKsJE,bavarian,german,pork
62,ChIJJzE_OMVRqEcRj2kHQw7R2FA,italian,pasta,steak
63,ChIJAd6ZC0pRqEcRdMJT_F9Nz-4,soup,cozy,sushi
64,ChIJT7EhEMNRqEcR1x7zXiYQPoQ,german,currywurst,pork
65,ChIJNX291dxRqEcRUIJ_TyFnZL0,pizza,pasta,italian
66,ChIJP5g9KttRqEcRFKxx7VlSTNA,italian,soup,
67,ChIJLT1gFNtRqEcRUIdXWAGRLB8,shrimp,schnitzel,pasta
68,ChIJV4_rtsRRqEcRIKoaNDZ0VnQ,wines,cozy,vegan
69,ChIJ88Ay2-tRqEcRSGvpr85dShA,terrace,german,
70,ChIJhzPIKMNRqEcRiayFSBvA3m0,steak,enchiladas,mexican
71,ChIJz7G335hRqEcR0TX_wEaiZh0,vegetarian,vegan,meat
72,ChIJG_cDGdtRqEcR4ZXXlDTg-uI,german,meat,
73,ChIJD3C43txRqEcRosYHlSG8PSM,steak,italian,meat
74,ChIJDaVpwcVRqEcR1V-TJQ4yYbA,steak,dessert,pasta
75,ChIJ6wFH3MVRqEcRgOTx5SIY3Ys,italian,pizza,pasta
76,ChIJQRJwFsNRqEcRHrYfTmV8njk,wines,japanese,
77,ChIJ6wjAveRRqEcRso9z0-Q3vYA,,,
78,ChIJrZ8OGuRRqEcRLGuMfehHnk0,italian,pasta,cozy
79,ChIJT9z_vvxRqEcRQvYDaqBLNS0,italian,pasta,pizza
80,ChIJB_l39-RRqEcR4Fg6Nq8VDcU,burger,german,
81,ChIJYR3pemJRqEcR7ByaEY1jr4g,tofu,vegan,
82,ChIJQcryI8JRqEcRgjJ-x1SPltM,burger,meat,
83,ChIJ4ygdHZtRqEcRxK14Ac-30bc,falafel,dessert,terrace
84,ChIJAXXAc-RRqEcR0FRvsK29GBo,thai,vegetarian,meat
85,ChIJ6d4kf-NRqEcR8tP3PgV6VMk,grill,pizza,turkish
86,ChIJyRESH_tRqEcRcTrX03kcwG8,pasta,italian,
87,ChIJDygZZPtRqEcRMfa3mz6wHuA,indian,dessert,
88,ChIJB_FI3vxRqEcRheAWfledrdA,pizza,,
89,ChIJ4T7H1kxRqEcRg5bM4hSintw,tacos,mexican,
90,ChIJeVVjZeRRqEcRXGGfdCmPlOg,korean,,
91,ChIJA1dgb_tRqEcRJBcscDxJtoA,wines,vegetarian,meat
92,ChIJoba4YftRqEcRnJ-fwvVhPa8,burrito,meat,vegetarian
93,ChIJ4-fNA_1RqEcRCO8DFPl778A,pasta,italian,wines
94,ChIJs0sH0h9OqEcRZazrLO_Me34,falafel,meat,vegan
95,ChIJlczQJOBRqEcRXVYk4DrcCSo,burger,,
96,ChIJUzrhW-BRqEcRNf2pK9EYCZ4,brewery,german,
97,ChIJyy4mIh9OqEcRP1hu2zIMaUQ,,,
98,ChIJYwCr5N9RqEcRdstaBFfAYko,steak,meat,cozy
99,ChIJA3tAkR5OqEcRHQ3BP-tASds,schnitzel,bavarian,pork
100,ChIJDSOfwt9RqEcRi01qCUNkNC8,tacos,german,
101,ChIJFcn0Lh5OqEcRpECiMYHxVRk,pork,cozy,
102,ChIJG8lcP85PqEcRAa-DKu_ck3w,pizza,pasta,german
103,ChIJ1zUeNOBRqEcR-WWSWMWSbDo,wines,salads,
104,ChIJqf4XAR9OqEcRMIHAhTrtDHE,meat,salads,currywurst
105,ChIJ9doHMh5OqEcRpBuTy_JIHzY,burrito,tacos,mexican
106,ChIJPyO9MyROqEcRK4S0i6cXjdQ,soup,tofu,
107,ChIJKX6rsyVOqEcRXjz4b0l4hs0,soup,salads,cozy
108,ChIJXZoV2GBPqEcRp70Md1mqDZY,currywurst,vegetarian,
109,ChIJo9YOY4pOqEcRagWIzFHfpKU,italian,pizza,pasta
110,ChIJt9_aL2BOqEcRFvSKK1Dyy5I,indian,vegan,
111,ChIJLf29eGBOqEcR7bsBUFo5Nsc,german,,
112,ChIJl--EWmBOqEcRmdHGNABHS9I,indian,soup,vegetarian
113,ChIJLSCkEGBOqEcR5Jh1KNSZwcA,soup,meat,tofu
114,ChIJ4-2fmGFOqEcR9HsLSfY0G5k,cozy,soup,
115,ChIJvaYAy_ROqEcR02cLpODNHH0,chinese,soup,
116,ChIJp3IK_V9OqEcRQHg-m_fuTjI,pizza,vegan,italian
117,ChIJGwEnhWBOqEcRZwq9_YKx8xg,italian,pasta,german
118,ChIJjY73RppPqEcRQUpAueINbkw,cozy,meat,
119,ChIJz-IvFYtOqEcRHXUL-IHdTV4,burger,indian,
120,ChIJRZueQYpOqEcR6zBxyeHVt8o,steak,schnitzel,german
121,ChIJie5RJ2FOqEcRoPweYZVLHPw,pizza,italian,vegetarian
122,ChIJ5y64yAZOqEcRwN27vqej-Fc,sushi,vegan,
123,ChIJgSXyqgVOqEcRuuu_TRczYZE,pizza,vegetarian,meat
124,ChIJBbLEUwFOqEcRdTSCjGNkUw8,sushi,dessert,german
125,ChIJ24W7IuBPqEcRHifKSxiv3xo,vegetarian,vegan,pizza
126,ChIJSRr9Q0RPqEcR5Rc3Wgw78WQ,cozy,vegetarian,
127,ChIJr5ovrwZOqEcRPKYBXdMUQoE,soup,cozy,vegetarian
128,ChIJA1exO-JPqEcRlEb8hacF9tk,schnitzel,german,dessert
129,ChIJ8WoRAwFOqEcRVNM_rNWFg2s,burger,cozy,
130,ChIJVxwwiANOqEcROvHO5CFCifY,,,
131,ChIJzfIkgQNOqEcR2a0zbBGr-to,tofu,,
132,ChIJvYZGMgROqEcROMgEzBYFNXM,wines,italian,terrace
133,ChIJIWckgQNOqEcRbiM9xblemAM,soup,,
134,ChIJDeQOyghOqEcRNbXx1DxyfXw,falafel,,
135,ChIJMw3tggVOqEcREbY-V_BH2AU,sushi,soup,meat
136,ChIJpx93FgFOqEcRm9nFeBOXXGw,nepalese,german,
137,ChIJv5OqEP9RqEcRlYUSZlZ145c,pizza,italian,pasta
138,ChIJE0RxBvxRqEcREc3DBhw-Qkw,vegetarian,meat,lebanese
139,ChIJ9Q0C_oRRqEcRDkNZH1OIj7E,schnitzel,cozy,german
140,ChIJu20u0QFOqEcR7FdAKIEi-qE,german,pasta,terrace
141,ChIJ2aK12gFOqEcRgG1Rj8VI2Yc,meat,vegetarian,cozy
142,ChIJnZv33P5RqEcRsGLQKclzEJQ,sushi,,
143,ChIJkc89FP9RqEcROD6qXeEGAFg,pizza,pasta,italian
144,ChIJixNxB7VRqEcRwY6rMfC9mlQ,vegan,meat,
145,ChIJ9emWiwtTqEcRZC052AiAme8,pizza,,
146,ChIJAfGGYDhRqEcRXNstzLVc__A,burger,meat,
147,ChIJq6o-wv5RqEcRMZRoHlzE_C8,vegetarian,vegan,soup
148,ChIJt_9z2_9RqEcROg-DK_4z-xM,vegetarian,meat,falafel
149,ChIJO9gSHQZPqEcRpzlBbrmTXy0,cozy,vegetarian,
150,ChIJXwO17JpRqEcRdGdj3LDS9CU,vegan,dessert,
151,ChIJV5k-rrZRqEcRLpbNxqi4wJI,persian,iranian,meat
152,ChIJPThB-RlPqEcRRJoQ0kRd4bI,pasta,soup,italian
153,ChIJ9bDYZW1RqEcR8GSxibNcfYw,burger,meat,vegetarian
154,ChIJm-BbIv5RqEcRlMDx303CG_o,cozy,,
155,ChIJaRW7Ln5RqEcRzYxpXzVnuwo,persian,iranian,dessert
156,ChIJUY--4v5RqEcRa78rTszAtds,burger,meat,pork
157,ChIJj4C73qdRqEcRUBPH6sXe-rY,vegetarian,meat,vegan
158,ChIJhUIeqttRqEcRpibCrwaKZ7Y,dessert,cozy,vegan
159,ChIJl0GZQf9RqEcRcIUsO8mancU,wines,cozy,meat
160,ChIJT0dZJvlRqEcRkT8fRw0MR9g,pizza,italian,
161,ChIJWwf8lv5RqEcRvcs6PCxDb4E,soup,vegan,terrace
162,ChIJFbxT5RpOqEcRwB4E6V_TUjY,german,indian,
163,ChIJaU1GoY5RqEcRGaTDY4W_Mxc,,,
164,ChIJRVwT7P9RqEcRsnaeQG_EdsI,sushi,cozy,thai
165,ChIJZQfGW_xRqEcRVMTpLubFb0M,cozy,,
166,ChIJ89Jadf9RqEcRFjBlmxffb2s,falafel,turkish,pizza
167,ChIJa64WTwJOqEcR8yA5ZKHtoBA,burger,meat,
168,ChIJm-VbCf9RqEcRJFuS59rBfso,currywurst,vegan,german
169,ChIJl20yUAFSqEcRQsGtUnvorAc,pizza,salads,
170,ChIJWTi3bQBSqEcRCj3zWrpiGTc,indian,,
171,ChIJ5bT0DABSqEcRHrELSazdCf0,soup,meat,
172,ChIJgQA7hwNSqEcRwBIgk87z4xw,cozy,,
173,ChIJhWheb_9RqEcReDrBqesXFmk,greek,dessert,pork
174,ChIJDQJgRABSqEcRZWSi0cbOlZA,tofu,vegan,
175,ChIJOWst0ABSqEcRTOEt07jV_CE,thai,soup,
176,ChIJla_6FwFSqEcRv1tPeSwlKrI,burger,pizza,grill
177,ChIJu5ZsrgBSqEcRAghTwtgEY4s,pizza,italian,german
178,ChIJoV_ze_9RqEcR9FwjjtrE-YA,falafel,meat,
179,ChIJnX6azvNTqEcRzQVMG8V6Ui8,burger,pork,meat
180,ChIJ61zTPgBSqEcRyVniKF4Tn_8,dessert,vegan,
181,ChIJD3aGnQNSqEcR4TJ4b2_u9Mg,thai,,
182,ChIJ--qbPCFRqEcRJD3lPWopQYk,sushi,japanese,soup
183,ChIJ6YVP5iBRqEcRw_ZYTaPVNXQ,pizza,italian,vegetarian
184,ChIJneJFVc5RqEcRPob76-XMq50,vegetarian,vegan,
185,ChIJtxxA6yBRqEcRhgyXcQaQavU,falafel,german,meat
186,ChIJBU0JySNRqEcRSsN5MVB9NGM,cozy,vegetarian,
187,ChIJjWlC0FZRqEcRIa3EtVlW7ms,,,
188,ChIJ2XTfiyNRqEcRwIj2fV_QPcg,soup,,
189,ChIJ-T1kbY9RqEcRhVBmB_3gq9M,soup,,
190,ChIJ-eWvi95QqEcRbZjutiGKR4w,pizza,pasta,burger
191,ChIJRdLqTN5QqEcRcLNmvXQoEuk,soup,vegetarian,
192,ChIJHzVWhd9QqEcRZ9BLZoB1tPg,iranian,vegetarian,indian
193,ChIJVxvg4WtRqEcRLnpZaOSj3Lk,indian,soup,pizza
194,ChIJ2YKGq95QqEcRb1OlrHFgmZ8,iranian,persian,cozy
195,ChIJj5L6pjhRqEcRmNHqMfJhG0Y,wines,dessert,lebanese
196,ChIJOX3Kqd5QqEcRF0Qkv-uaXo4,burger,vegan,
197,ChIJ_xW4NjtRqEcRxwb640b0dDI,thai,cozy,
198,ChIJXx60DNxQqEcRD74uGeqi_XU,italian,,
199,ChIJKRfH3UlRqEcRO8cUVPJVT1o,wines,,
200,ChIJf3WCO9xQqEcRu34Tk4VLYC0,pasta,dessert,
201,ChIJx9G1vIxQqEcRZIufrZJGalc,thai,soup,vegetarian
202,ChIJT5hOsN5QqEcRHlwVsTs9by0,soup,vegetarian,sushi
203,ChIJC2pUS9lQqEcRmMD01VDmWOo,,,
204,ChIJy0aqjd5QqEcRjldR4WPj7oE,dessert,russian,german
205,ChIJs9Qnq7BRqEcRWEzZmbWf1a8,lebanese,meat,
206,ChIJffZoAt5QqEcRsw6LpoUKGZA,italian,,
207,ChIJW-5N6spRqEcRWSKF7kBIFpU,burger,grill,meat
208,ChIJfQw-w7xRqEcR7c8Lz9NHjrk,sushi,cozy,
209,ChIJHxNWpvBQqEcRdudlgtoSfLg,pizza,italian,soup
210,ChIJFZgIRvlQqEcR7DFdQkJvNrE,pasta,italian,pizza
211,ChIJe60jaflQqEcRsE3y3Xl9IEo,wines,schnitzel,meat
212,ChIJJybAlftQqEcR-a7V2df0uAU,schnitzel,german,pork
213,ChIJNWK0JftQqEcRhn7-pNcswII,pasta,pizza,wines
214,ChIJeROYlPpQqEcRAYUGlf1b_xs,,,
215,ChIJx9J0l_tQqEcRcumRlIMD6ek,pizza,pasta,italian
216,ChIJfaVzdt9RqEcRtRBGrspQC7w,burger,vegan,
217,ChIJNRL45zZRqEcRHe2EZb9RPU8,japanese,cozy,german
218,ChIJp2xNl_JRqEcRa0AHD6HiDYo,turkish,german,
219,ChIJCVBmcPlQqEcRChjrUEhJhmU,pasta,wines,italian
220,ChIJQcqERh5RqEcRJtycZlN2CTk,,,
221,ChIJJybAlftQqEcRIwmqN4vXlUM,pasta,steak,shrimp
222,ChIJwyh8yftQqEcRQT4r7PIf6Tg,sushi,vegetarian,cozy
223,ChIJnxoeFvtQqEcR51kM9BPyvKU,steak,grill,terrace
224,ChIJhbCM7VZQqEcR4DQw616tAvU,persian,iranian,terrace
225,ChIJwSkqalpQqEcRK-XBJIfteMM,indian,,
226,ChIJe49GqFBQqEcROrshOxssavc,pasta,italian,cozy
227,ChIJVVWxC1dQqEcR3U-czVcACUE,italian,pizza,
228,ChIJAfY_qVFQqEcRSJfekpg0e_0,meat,,
229,ChIJt6ejHVpQqEcRmvlmNG_MeSc,chinese,vegetarian,soup
230,ChIJfV9iMlBQqEcRSk2hdg-DfyI,chinese,shrimp,soup
231,ChIJE0zmMKxRqEcRRFlPpQ9C0BQ,indian,vegan,
232,ChIJZ1bzCVFQqEcRp1QCbr9pNLg,russian,soup,
233,ChIJVfyik1lQqEcR9m0FYg4FWnY,pizza,italian,dessert
234,ChIJnXwpDhZRqEcRoe2i9l3Ubok,tacos,mexican,burger
235,ChIJZXX1G09QqEcRqt35NrlyDsY,greek,meat,german
236,ChIJJV0-nnYjZUERvrC8Ok8XFS4,italian,pizza,
237,ChIJn0aOGU9QqEcRA_A8hkq9ClQ,meat,vegan,falafel
238,ChIJo9T39kVQqEcRoOxtm6QI6xs,italian,,
239,ChIJAQC04U9QqEcRG5D_HPs-di8,pizza,italian,vegetarian
240,ChIJFU0wBURQqEcRVAexlWtbPEw,cozy,,
241,ChIJAcZ77UVQqEcRzzf8p-8UJhg,sushi,,
242,ChIJFygSVk9QqEcR5sf5gBYMOkY,korean,vegetarian,meat
243,ChIJv6dSCFRQqEcRz4P7D8-_VZo,dessert,cozy,pizza
244,ChIJp2vJknJRqEcRna0m8wdi12E,pizza,italian,cozy
245,ChIJJSMiK1FQqEcRuJAXelzqjE0,italian,pasta,pizza
246,ChIJ93fW7spRqEcRR-jJ_Oqit0Y,sushi,,
247,ChIJ2ykvaNZRqEcRfLA0To57Q2A,vegan,,
248,ChIJv944hlZQqEcRBiYeuz0Xv5U,wines,lobster,soup
249,ChIJ4Wce2-tRqEcRcPKUr56ZrA8,steak,tacos,meat
250,ChIJiQushnxRqEcR2skljt4Xzmo,vegetarian,soup,cozy
251,ChIJ8dWOOFZQqEcRgWcELy8Izts,pizza,vegan,russian
252,ChIJpcO8eVVQqEcRoApx5eg9xDs,pizza,pasta,
253,ChIJByfxslBRqEcRYnn-9Ce664c,german,,
254,ChIJL5NPqB9OqEcRooFYmZ-pvKY,italian,pasta,
255,ChIJrVVKE8xRqEcRzCHYPt0cSUg,burger,salads,vegetarian
256,ChIJke8D4mhQqEcRZy6mG1xAO04,pizza,italian,pasta
257,ChIJp7DT1P5QqEcRoiBZnpUrN28,dessert,soup,
258,ChIJS3ThP_9QqEcR6fgOvkPO7SE,soup,shrimp,
259,ChIJCdg_39VRqEcRi-VgwVRequI,cozy,salads,terrace
260,ChIJ0WSXR_9QqEcRHX9kYv3LXVo,falafel,cozy,
261,ChIJWz8I-1RQqEcRCch9ZrU-ijM,pizza,pasta,italian
262,ChIJL1yKEMJNqEcRTT64gL0kz0M,sushi,japanese,thai
263,ChIJl2EzBWlRqEcRBtMUUJm_isc,sushi,vegan,salads
264,ChIJIUTxLwVRqEcRLmCxgtAkgn0,steak,grill,falafel
265,ChIJWbZyIlRQqEcRtDwOXDVvOes,terrace,,
266,ChIJFWA9QeZRqEcRI21yt6dtCAQ,,,
267,ChIJ7yjNbf9QqEcRs-DhT-WGNCc,pizza,pasta,
268,ChIJK1lDwBtRqEcRPkRy0Q5nVZ4,,,
269,ChIJuQzNoVZQqEcRz_55HKmMz4U,thai,tofu,
270,ChIJtUaMUrwjZUERKqMOBZxTD6Y,lobster,burger,cafe
271,ChIJJwwbdlZQqEcR_Gz2vCCiGiY,wines,steak,schnitzel
272,ChIJo2aGvFZQqEcR3X4Cs1GZ0bU,italian,pizza,pasta
273,ChIJAwCOhkFQqEcRZhZokg0SB7E,german,,
274,ChIJVR8g6EFQqEcRsf28ZsDr0Yg,burger,meat,cozy
275,ChIJ05YW6kFQqEcR1uYNOyP7rUM,vegetarian,indian,
276,ChIJOfIGkUFQqEcROOuYzUl5k9M,sushi,dessert,japanese
277,ChIJTSxzwkZQqEcRJdGKIN0LCFk,german,wines,cozy
278,ChIJKSyqAkFQqEcRA5IS5v7gSe8,indian,,
279,ChIJeZaGLkJQqEcR1uzIfZbe2gU,vegetarian,,
280,ChIJawylpt1RqEcRN_q3EBn6Hno,vegetarian,cozy,
281,ChIJYa91qZVRqEcRtHBObKjIDkI,pizza,,
282,ChIJOY-PAQNRqEcRIoQz0ejjbyM,vegetarian,meat,falafel
283,ChIJq_swYHRRqEcRC2FML8JuUR4,sushi,japanese,
284,ChIJQ5yiSkFQqEcRLC8_MXy23XA,soup,vegetarian,
285,ChIJ_UftzEFQqEcRaR1V3JDyRrQ,meat,,
286,ChIJV2hCh0JQqEcRSbgYwn3uQrA,greek,soup,meat
287,ChIJ4UcaoT9RqEcRtV_T0Yyjm9o,vegan,cozy,
288,ChIJX1L0AkFQqEcRlNIO5T3M6hM,nepalese,dessert,vegetarian
289,ChIJP5YQR3EjZUEREG4Q6SkGoi8,soup,,
290,ChIJn-8hiH1aqEcRyRQbkBNJ1Co,pizza,italian,
291,ChIJLRirA0FQqEcRT5A8pfvmpSU,meat,vegan,
292,ChIJm41R-kBQqEcRFnhpTsbCEyE,,,
293,ChIJJ--MQapRqEcRatrDOQVtNl0,burrito,mexican,
294,ChIJZ1RVzUZQqEcRoQozHFRV2nM,cozy,,
295,ChIJh6jcOeBRqEcRC49txTGvRCk,sushi,thai,
296,ChIJfwynHURQqEcR0UEw5PuLhTQ,tofu,chinese,soup
297,ChIJO08PhNlRqEcR8FskcKy3UeI,vegetarian,,
298,ChIJHR8OgERQqEcRNWrKc-wKrLA,vegetarian,korean,vegan
299,ChIJRdWXxkFQqEcRMfo1hnd_fHo,chinese,soup,
300,ChIJ20Tol0BQqEcRTjwsnRhtuA0,indian,vegetarian,
301,ChIJ7-uxFkFQqEcRchxQOpnTxjQ,pasta,italian,pizza
302,ChIJ0058tWtQqEcRs0RlyLrOELA,steak,meat,soup
303,ChIJ0Uq5KEJQqEcR6cU2IWFJTfw,indian,german,
304,ChIJ28CnoWtQqEcRE1mrVNWBNaA,,,
305,ChIJ_4I9sUNQqEcRvK0NJcZxSJM,pasta,italian,pizza
306,ChIJJzFgLjJRqEcRMUNb7_Cd02Q,indian,,
307,ChIJ0Rny9kBQqEcRhGjt_Olukp8,dessert,meat,
308,ChIJpclINApRqEcR0bfwq0DRYm0,burger,falafel,lebanese
309,ChIJkcpIkUBQqEcRj4BvIwxeopw,pizza,italian,
310,ChIJ7wcougBRqEcRsSPp4pEws4c,grill,steak,meat
311,ChIJrTpLHxlRqEcRf1HVwMzMKeU,dessert,,
312,ChIJFYqP2hRQqEcRtcQBz9Xk_Go,,,
313,ChIJ4SNKMMxPqEcRy9-Y809GOgc,pizza,pasta,thai
314,ChIJrfRNQslPqEcRPuCFqF0-DMI,,,
315,ChIJQ73DHspPqEcRCPHeJOCO3ig,turkish,pizza,pasta
316,ChIJzQEd-7dPqEcRNmqVH0x_aU0,indian,soup,tofu
317,ChIJd8Z0nMlPqEcRouH5rymUd4A,vegetarian,german,
318,ChIJHeOOJp4jZUER3w13sncWesQ,dessert,german,greek
319,ChIJNz-awclPqEcRQDtp37uOFB0,burger,cozy,
320,ChIJNTeCi8lPqEcRFNa3fbjpPSI,pizza,pasta,italian
321,ChIJEZcKX85PqEcR72ayvKDPto4,indian,soup,
322,ChIJeXSNlclPqEcRFHHyRzSOck0,cozy,,
323,ChIJ78aCVclPqEcR-VYl2hkQcFU,chinese,vegetarian,dessert
324,ChIJA2r4fs9PqEcRsKbTP918OAM,brewery,german,
325,ChIJPZ4MGshPqEcRbcIWzqUghvg,vegetarian,soup,cozy
326,ChIJTSqPrs9PqEcRjcaqwbl695M,wines,pizza,german
327,ChIJK-Er5klOqEcR7IqyY4C9sn8,italian,pizza,pasta
328,ChIJqY2b9vpPqEcRiIUZyHazyeA,meat,vegetarian,vegan
329,ChIJBfcxQUxOqEcRpt1d7FzFRuA,russian,,
330,ChIJTVn2H0lOqEcRsjBXt80PYU8,meat,vegetarian,
331,ChIJkSgYHktOqEcRALVZuDYxhA4,tofu,soup,
332,ChIJs5nhf0lOqEcR0JJwrH-u8V8,cafe,,
333,ChIJE9g9Vy9PqEcRZh8Zl0m6T9Q,dessert,vegan,
334,ChIJAetnwk1OqEcR4iHk5UeqDhg,vegetarian,,
335,ChIJK3765UlOqEcRZJhD6fnhtvk,pizza,,
336,ChIJi1ptbU5OqEcRP8uASpDYXKc,falafel,vegetarian,meat
337,ChIJAym_K0pOqEcRXBiLQXNz2bk,sushi,,
338,ChIJ74LRF8tPqEcRNeBJAS2qxaQ,pork,wines,vegetarian
339,ChIJDd9ZlUpOqEcRhLhnYpgX7co,cafe,german,
340,ChIJjXctQxdPqEcRvCKhSZQPPpM,,,
341,ChIJCa695RhPqEcRz7miYlwqCmM,vegan,,
342,ChIJT0gKzDROqEcRk0hJrRcrk4k,vegetarian,falafel,tofu
343,ChIJS6RHCjVOqEcRlvc8XaYtn_Q,burger,,
344,ChIJwyz6_spPqEcRYEp1fdq8A68,lobster,,
345,ChIJrSyqfzVOqEcRQ744P0jTJDY,turkish,meat,
346,ChIJW5i6ZzROqEcRzWTnUg0D_WE,burger,meat,vegan
347,ChIJH0adADVOqEcRg43L7nGiT1Y,pizza,,
348,ChIJKQuSDJZPqEcRFuPD4ijBnJU,korean,pork,vegetarian
349,ChIJyV_Q9zROqEcRYzFV92kUqSs,sushi,thai,cozy
350,ChIJWTVNcTVOqEcRylY7btderHg,turkish,meat,vegetarian
351,ChIJ-8fl7MpPqEcRsHvXVp8w3WU,dessert,terrace,steak
352,ChIJccDCX8pPqEcRkdhWnC8AyNI,cafe,meat,cozy
353,ChIJ9zDfkUpOqEcRYzXkB9bvJMM,meat,falafel,
354,ChIJ9dXwBUdPqEcR5mQCELHF1WI,falafel,,
355,ChIJkVLSt6RPqEcRKwe30EgeEYM,german,,
